                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1069,                 1.9791,                 2.0847,                 1.1157,                0.37931,                0.67346,                0.50242,                0.40601,                0.37894,                0.66707,                0.50164,                0.40252,                0.79803,                 1.1725,                 1.6405,                 1.0082,             0.00011837,             0.00011837,             0.00011837
                     90,                 1.0692,                 1.9367,                  2.052,                 1.0864,                0.36724,                0.67581,                0.51109,                0.41086,                0.36476,                0.67191,                0.51053,                0.40805,                0.80205,                 1.1762,                 1.6254,                 1.0115,             0.00011654,             0.00011654,             0.00011654
                     91,                 1.0885,                 1.9924,                 2.0388,                 1.1047,                0.38687,                0.68362,                0.51147,                0.41232,                0.38791,                 0.6783,                0.51105,                0.40524,                0.80377,                  1.173,                 1.6204,                 1.0116,              0.0001147,              0.0001147,              0.0001147
                     92,                 1.0078,                 1.7718,                  1.989,                  1.059,                0.37103,                0.73002,                0.50385,                0.40803,                0.37103,                0.73002,                0.50347,                0.40015,                0.79552,                 1.1527,                 1.6271,                 1.0095,             0.00011287,             0.00011287,             0.00011287
                     93,                 1.0423,                 1.7572,                 1.9831,                 1.0615,                0.36161,                0.73332,                0.47852,                0.38703,                0.36161,                0.73332,                0.47871,                0.38065,                0.79145,                 1.1231,                 1.6625,                 1.0032,             0.00011103,             0.00011103,             0.00011103
                     94,                 1.0869,                 1.9413,                 2.0465,                 1.0827,                0.37213,                0.71537,                 0.4841,                0.38887,                0.37213,                0.71537,                0.48429,                0.38633,                0.79236,                 1.1223,                 1.6633,                 1.0028,              0.0001092,              0.0001092,              0.0001092
                     95,                 1.0828,                  1.883,                 2.1524,                 1.0997,                0.36877,                0.71442,                0.49101,                0.39896,                0.36877,                0.71442,                0.49121,                0.39538,                0.78783,                 1.1184,                 1.6606,                0.99887,             0.00010736,             0.00010736,             0.00010736
                     96,                  1.129,                 2.0489,                 2.0075,                 1.1453,                0.36698,                0.69992,                0.50156,                0.40474,                0.36698,                0.69992,                0.50178,                0.40551,                0.79875,                 1.1207,                 1.6443,                 1.0064,             0.00010553,             0.00010553,             0.00010553
                     97,                 1.0524,                 1.8603,                 2.0193,                 1.0787,                0.38663,                0.63715,                0.50173,                0.40659,                0.38663,                0.63715,                0.50187,                0.40736,                 0.8092,                 1.1386,                 1.6375,                  1.011,             0.00010369,             0.00010369,             0.00010369
                     98,                 1.1059,                 1.9295,                 2.0258,                 1.1319,                0.36984,                0.67114,                0.50663,                0.41013,                0.36984,                0.67114,                0.50686,                0.40823,                0.81926,                 1.1615,                 1.6318,                 1.0144,             0.00010186,             0.00010186,             0.00010186
